Factor,FactorLabel,Level,Value,MeanSNRGapDb,MeanGapPct,ObservationCount,SNRRangeDb,RecommendedLevel
HiddenWidth,MLP hidden width,1,2,-3.8562703260558444,0.939750811351388,3,3.3599996602890894,3
HiddenWidth,MLP hidden width,2,4,-3.1559967801651374,0.8176813848149126,3,3.3599996602890894,3
HiddenWidth,MLP hidden width,3,8,-0.49627066576675505,0.6328798049556384,3,3.3599996602890894,3
Population,HCLPSO population,1,10,-2.504441882141075,0.7970282921258458,3,0.5316047769893566,3
Population,HCLPSO population,2,20,-2.767850333418009,0.8243214405936499,3,0.5316047769893566,3
Population,HCLPSO population,3,30,-2.2362455564286523,0.7689622684024434,3,0.5316047769893566,3
ParameterScale,MLP parameter scale,1,2.0,-2.681979212256826,0.8334420397121601,3,0.5814527869054169,2
ParameterScale,MLP parameter scale,2,4.0,-2.122552886412747,0.7511869898953846,3,0.5814527869054169,2
ParameterScale,MLP parameter scale,3,6.0,-2.704005673318164,0.8056829715143943,3,0.5814527869054169,2
