Factor,Level,Value,MeanOptimizationSec
HiddenWidth,1,2,36.779814238886395
HiddenWidth,2,4,42.78301273889438
HiddenWidth,3,8,53.95935914166815
Population,1,10,52.97198994721597
Population,2,20,41.86285396388201
Population,3,30,38.68734220835095
ParameterScale,1,2.0,44.075349838880356
ParameterScale,2,4.0,44.457469450005895
ParameterScale,3,6.0,44.98936683056268
