DesignRun,WidthLevel,PopulationLevel,ScaleLevel,Architecture,HiddenWidth,Population,ParameterScale,EvaluationBudgetRule,CompletedCases,MeanGapPct,MedianGapPct,MaxGapPct,StdGapPct,HitCount,SNRGapDb,MeanOptimizationSec,TotalOptimizationSec
1,1,1,1,3-2-1,2,10,2.0,50*TargetNum,12,1.0129786678583932,0.4008778373565489,3.42231919742409,1.321801244786724,0,-4.195740942548632,43.66538973331141,523.9846767997369
2,1,2,2,3-2-1,2,20,4.0,50*TargetNum,12,0.9573755384379833,0.284762520564889,3.42231919742409,1.3560449820040723,0,-4.153389474122926,34.53629062499385,414.43548749992624
3,1,3,3,3-2-1,2,30,6.0,50*TargetNum,12,0.8488982277577879,0.27553670146468234,3.42231919742409,1.2261494523370993,0,-3.219680561495977,32.13776235835394,385.65314830024727
4,2,1,2,3-4-1,4,10,4.0,50*TargetNum,12,0.700398843325705,0.1451275406008794,3.2835772356152795,1.1304282219944273,1,-2.2061505544122757,51.89371121667015,622.7245346000418
5,2,2,3,3-4-1,4,20,6.0,50*TargetNum,12,0.8904433215919556,0.3040974717324625,3.42231919742409,1.3192627472516631,0,-3.7809023089961946,39.47346924166777,473.68163090001326
6,2,3,1,3-4-1,4,30,2.0,50*TargetNum,12,0.8622019895270768,0.15186493365846504,3.42231919742409,1.273015992479108,0,-3.4809374770869406,36.981857758345235,443.78229310014285
7,3,1,3,3-8-1,8,10,6.0,50*TargetNum,12,0.6777073651934393,0.2754189573873429,2.519605211861277,0.9529039494515865,0,-1.1114341494623183,63.35686889166633,760.282426699996
8,3,2,1,3-8-1,8,20,2.0,50*TargetNum,12,0.6251454617510106,0.2461528404924254,2.4465980549749817,0.8725737916370838,0,-0.3692592171349067,51.57880202498442,618.9456242998131
9,3,3,2,3-8-1,8,30,4.0,50*TargetNum,12,0.5957865879224654,0.26475502462584455,2.6402273127701927,0.8400703102184415,0,-0.008118630703040058,46.94240650835369,563.3088781002443
